SiteName,Site,Seq,Date,Month,Vol_m3,Temperature_C,DO_Percent,Max_vel,RCTdepth_cm,Length_m
DG1-SEQ1-2021,DG1,SEQ1,2021-05-03,5,7.653799999999999,13,80.7,0,4,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-05-03,5,17.322666666666667,10.8,63.4,0.017,2.5,5.6
DG1-SEQ3-2021,DG1,SEQ3,2021-05-03,5,4.55175,12.9,83,0,3,6.3
LAG1-SEQ1-2021,LAG1,SEQ1,2021-05-06,5,212.73749999999998,13.6,102.2,0.402,17,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-05-06,5,67.08,13.9,103.4,0.309,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-05-07,5,174.566,14.1,102,0.162,21,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-05-02,5,53.29665000000001,13.5,103.6,0.34,18,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-05-24,5,295.82370000000003,12.8,104.2,0.169,25,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-05-24,5,89.61959999999999,12.6,104.9,0.202,24,22.7
OL-SEQ1-2021,OL,SEQ1,2021-05-05,5,22.8336,16,87.2,0.063,6,13.4
OL-SEQ2-2021,OL,SEQ2,2021-05-05,5,54.7638,15.4,89.2,0.068,7,22.1
OL-SEQ3-2021,OL,SEQ3,2021-05-05,5,44.5178,13.8,84.2,0.138,12,17.8
SG-SEQ1-2021,SG,SEQ1,2021-05-08,5,7.0806666666666676,12,81.3,0.065,5.5,9.5
SG-SEQ2-2021,SG,SEQ2,2021-05-08,5,155.23559999999998,12,77,0.031,8,40.3
SG-SEQ3-2021,SG,SEQ3,2021-05-08,5,163.0674,11.8,79.2,0.14,7,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-06-01,6,12.183600000000002,13.4,42,0,5,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-06-01,6,16.889599999999998,13.2,45.6,0,2,5.6
DG1-SEQ3-2021,DG1,SEQ3,2021-06-01,6,3.4650000000000003,13.7,69.4,0,2,6.3
LAG1-SEQ1-2021,LAG1,SEQ1,2021-06-03,6,172.77487499999998,15.2,98,0.258,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-06-03,6,59.94,15.2,100.2,0.353,14,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-06-03,6,151.93679999999998,15.6,101.4,0.141,19,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-06-01,6,46.1094,15.2,102,0.302,9,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-06-01,6,296.09279999999995,14.9,101.2,0.17,23,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-06-01,6,81.1525,14.4,99.5,0.188,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-06-02,6,20.72533333333333,17.2,81.7,0,5,13.4
OL-SEQ2-2021,OL,SEQ2,2021-06-02,6,59.0733,14.2,84.8,0.022,7,22.1
OL-SEQ3-2021,OL,SEQ3,2021-06-02,6,48.593999999999994,14.9,79.1,0.083,11,17.8
SG-SEQ1-2021,SG,SEQ1,2021-06-05,6,7.163,14.8,78.3,0.023,4.5,9.5
SG-SEQ2-2021,SG,SEQ2,2021-06-05,6,126.21959999999999,13.8,43.7,0.038,6,40.3
SG-SEQ3-2021,SG,SEQ3,2021-06-05,6,188.632,14.8,71.9,0.061,4.5,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-07-28,7,2.3855999999999997,14.3,8.1,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-07-28,7,10.472000000000001,14.4,12,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-07-27,7,118.94999999999999,17.8,102.8,0.218,17.8,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-07-27,7,63.03,17.7,103.9,0.313,17.7,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-07-27,7,148.0185,17.4,103.6,0.222,7.6,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-07-26,7,35.2758,16.1,101.7,0.262,16,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-07-26,7,252.80450000000005,16.7,102.4,0.103,20,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-07-26,7,79.55896,15.7,98.7,0.107,18.5,22.7
OL-SEQ1-2021,OL,SEQ1,2021-07-25,7,18.255266666666667,15.7,60.7,0,4,13.4
OL-SEQ2-2021,OL,SEQ2,2021-07-25,7,71.39405000000001,15.5,63,0,9,22.1
OL-SEQ3-2021,OL,SEQ3,2021-07-25,7,47.16288,15.5,53.7,0,9,17.8
SG-SEQ1-2021,SG,SEQ1,2021-07-24,7,3.33925,15.3,20.8,0,0,9.5
SG-SEQ2-2021,SG,SEQ2,2021-07-24,7,121.2627,14.3,8.4,0,0,40.3
SG-SEQ3-2021,SG,SEQ3,2021-07-24,7,134.9551,14.6,25.5,0,0,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-09-26,9,1.36675,14.5,19.3,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-09-26,9,4.3427999999999995,14.4,11.4,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-09-12,9,158.79825,16.5,99.4,0.159,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-09-12,9,62.85600000000001,16.7,99.3,0.299,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-09-12,9,150.44199999999998,16.7,98.5,0.085,16,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-09-11,9,50.524424999999994,17.9,97.6,0.412,16,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-09-11,9,291.9735,17.7,98,0.097,20,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-09-11,9,78.04260000000001,17.6,92.8,0.174,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-09-19,9,21.109466666666666,16.1,62.5,0,6,13.4
OL-SEQ2-2021,OL,SEQ2,2021-09-19,9,48.194575,16.3,63.6,0,9,22.1
OL-SEQ3-2021,OL,SEQ3,2021-09-19,9,56.94665000000001,15.8,61.7,0,8,17.8
SG-SEQ2-2021,SG,SEQ2,2021-09-18,9,90.73544999999999,14.3,10.1,0,0,40.3
SG-SEQ3-2021,SG,SEQ3,2021-09-18,9,126.45546666666667,14.4,26.6,0,0,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-10-16,10,4.7073,11.8,2.6,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-10-16,10,4.536,12.4,10.1,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-10-09,10,154.635,14.2,99.5,0.2,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-10-09,10,58.5,14.1,98.8,0.262,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-10-09,10,140.452,14.1,98.1,0.202,17,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-10-10,10,44.843999999999994,14.8,94.1,0.374,18,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-10-10,10,267.901125,14.9,93.8,0.168,23,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-10-10,10,74.3652,15.5,94,0.2,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-10-17,10,18.867200000000004,10.3,65.1,0,3,13.4
OL-SEQ2-2021,OL,SEQ2,2021-10-17,10,47.4266,10.3,61.5,0,4,22.1
OL-SEQ3-2021,OL,SEQ3,2021-10-17,10,58.646550000000005,10.3,58.6,0,7,17.8
SG-SEQ2-2021,SG,SEQ2,2021-10-16,10,44.6832,9.35,5.5,0,0,18
SG-SEQ3-2021,SG,SEQ3,2021-10-16,10,62.2497,10.1,15.6,0,0,24.45
